Subject,Run,Trial,Onset,True_Class,Artifact,Theta_Baseline_R2,Theta_MI_R2,Theta_Change_R2,Alpha_Mu_Baseline_R2,Alpha_Mu_MI_R2,Alpha_Mu_Change_R2,Beta_Baseline_R2,Beta_MI_R2,Beta_Change_R2,Gamma_Baseline_R2,Gamma_MI_R2,Gamma_Change_R2
A01,3,1,251,1,0,0.5403795352206349,0.2507531880253495,-0.2896263471952853,0.237693579135568,0.4933076593249237,0.2556140801893556,0.2378675336097629,0.1455839584281324,-0.0922835751816304,0.3440859041259152,0.1889476668703642,-0.155138237255551
A01,3,2,2254,2,0,0.3673205448129577,0.2043968703861664,-0.1629236744267913,0.3570467242697478,0.3350332784840819,-0.0220134457856659,0.2265380143845752,0.3151760200153474,0.0886380056307722,0.2687937980708304,0.2463151398046053,-0.022478658266225
A01,3,3,4172,2,0,0.3616035121733133,0.3415846647310025,-0.0200188474423108,0.4476874627887198,0.257798362364407,-0.1898891004243128,0.0582216891302055,0.0932462289817853,0.0350245398515797,0.1261786276350479,0.268322365458915,0.142143737823867
A01,3,4,6124,1,0,0.2284175349554421,0.181136731084973,-0.047280803870469,0.2969341336061545,0.4253532118591919,0.1284190782530374,0.2868090802491925,0.2673244862035593,-0.0194845940456331,0.195479150041389,0.2363633076769911,0.0408841576356021
A01,3,5,8132,2,0,0.534642539329378,0.1320413217042477,-0.4026012176251303,0.3596453338257375,0.4820832482722795,0.1224379144465419,0.1326448514394779,0.2403729776912988,0.1077281262518209,0.1332666011410215,0.4581748543826763,0.3249082532416547
A01,3,6,10243,1,0,0.4739462249068852,0.36274603326533,-0.1112001916415552,0.5031748569334521,0.4163297630958607,-0.0868450938375913,0.1005255326877802,0.3157144996576532,0.2151889669698729,0.114860740546466,0.1898232775895924,0.0749625370431263
A01,3,7,12160,2,0,0.3597225663204705,0.3070950140327427,-0.0526275522877278,0.3573246609761993,0.482823714885856,0.1254990539096567,0.2923743055511113,0.1984875453856303,-0.0938867601654809,0.1462515747040888,0.2116946159394119,0.065443041235323
A01,3,8,14210,3,0,0.2910032798348551,0.1765880073221844,-0.1144152725126707,0.3935274332941737,0.243397839161667,-0.1501295941325066,0.2612892048085033,0.4544833093358367,0.1931941045273333,0.2489276230689458,0.3774683130193169,0.1285406899503711
A01,3,9,16141,2,0,0.7923544925344551,0.4478912893734837,-0.3444632031609713,0.1815135178841848,0.3732629500411807,0.1917494321569958,0.1242564291141482,0.1816546346335665,0.0573982055194182,0.0601407596705668,0.2133464465660445,0.1532056868954777
A01,3,10,18139,4,0,0.4633358850238003,0.2712179602428805,-0.1921179247809198,0.2689296799815819,0.4203480180182363,0.1514183380366543,0.2847265435632181,0.140436824215662,-0.144289719347556,0.284730980343605,0.2011553529923392,-0.0835756273512657
A01,3,11,20045,1,0,0.2514146801867928,0.3202622437490086,0.0688475635622157,0.3879547420421583,0.347468948658957,-0.0404857933832013,0.2592281767682838,0.3072537143847084,0.0480255376164245,0.2730101518851869,0.2433901290627818,-0.0296200228224051
A01,3,12,21940,3,0,0.4245766647523244,0.2955635773682643,-0.1290130873840601,0.3352202751218647,0.396316169901143,0.0610958947792782,0.2347524225174174,0.3876044801092262,0.1528520575918087,0.3683983507687162,0.2706219752424707,-0.0977763755262454
A01,3,13,23912,2,0,0.6131275763568522,0.3580567550865954,-0.2550708212702568,0.3469221916015462,0.3883167001404031,0.0413945085388569,0.2225057382912621,0.3125357644363534,0.0900300261450912,0.1913405797192083,0.2301308418894548,0.0387902621702465
A01,3,14,25856,1,0,0.4099758809314773,0.5684665073844488,0.1584906264529715,0.4553916166780852,0.5033416105244426,0.0479499938463573,0.3147639342933539,0.4544515867313879,0.139687652438034,0.3645521279598461,0.3860244451087515,0.0214723171489054
A01,3,15,27823,4,0,0.3401990211112872,0.2613222314435384,-0.0788767896677488,0.3604687298749165,0.3006752782930974,-0.0597934515818191,0.2017702507909651,0.2519035244311657,0.0501332736402005,0.3049960953272363,0.2078433135588156,-0.0971527817684207
A01,3,16,29943,4,0,0.2139687575059061,0.3805015228567111,0.166532765350805,0.3604823573128746,0.5267455482255627,0.1662631909126881,0.3388258526204343,0.2610336153074045,-0.0777922373130298,0.1635223726848454,0.2045491992754981,0.0410268265906527
A01,3,17,31951,4,0,0.2130195313551973,0.5162920957736621,0.3032725644184647,0.1704916669224934,0.5257966738908951,0.3553050069684016,0.2129161714585001,0.3459135088258516,0.1329973373673515,0.5497971850120565,0.4046581209320515,-0.145139064080005
A01,3,18,34017,4,0,0.5016800544044866,0.2557877052064487,-0.2458923491980378,0.1574476945077573,0.3337927848230365,0.1763450903152791,0.3156129337862913,0.1075141669391915,-0.2080987668470997,0.2193782989607061,0.1378044909294402,-0.0815738080312658
A01,3,21,40189,3,0,0.1669503506198046,0.2573780630471463,0.0904277124273416,0.4302194518671254,0.3935889202518489,-0.0366305316152765,0.0951095710438284,0.2218194834495392,0.1267099124057108,0.5553676859357609,0.359994195431858,-0.1953734905039028
A01,3,22,42269,2,0,0.3532969736723549,0.4977204594001777,0.1444234857278228,0.4928405345133106,0.565364804717096,0.0725242702037854,0.2334002517616845,0.4315268090532291,0.1981265572915446,0.4752997009400768,0.3587043493877719,-0.1165953515523048
